Ad state,Ad,Description line 1,Description line 2,Display URL,Final URL,Device preference type,Campaign,Ad group,Ad type
enabled,Book Yoga Retreats Online,3 Deals in Coromandel!,Top Rated & Best Price Guarantee,www.BookYogaRetreats.com/Coromandel,www.bookyogaretreats.com/all/d/asia-and-oceania/new-zealand/coromandel,All,Longtail New Zealand - Coromandel,Longtail Retreats Coromandel,Text ad
enabled,Book Yoga Retreats Online,8 Deals in Takaka!,Top Rated & Best Price Guarantee,www.BookYogaRetreats.com/Takaka,www.bookyogaretreats.com/all/d/asia-and-oceania/new-zealand/takaka,All,Longtail New Zealand - Takaka,Longtail Retreats Takaka,Text ad
enabled,Book Yoga Retreats Online,11 Deals in Colares!,Top Rated & Best Price Guarantee,www.BookYogaRetreats.com/Colares,www.bookyogaretreats.com/all/d/europe/portugal/colares,All,Longtail Portugal - Colares,Longtail Retreats Colares,Text ad
enabled,Book Yoga Retreats Online,5 Deals in Skinnskatteberg!,Top Rated & Best Price Guarantee,www.BookYogaRetreats.com,www.bookyogaretreats.com/all/d/europe/sweden/skinnskatteberg,All,Longtail Sweden - Skinnskatteberg,Longtail Retreats Skinnskatteberg,Text ad
enabled,Book Yoga Retreats Online,3 Deals in Mumbai!,Top Rated & Best Price Guarantee,www.BookYogaRetreats.com/Mumbai,www.bookyogaretreats.com/all/d/asia-and-oceania/india/mumbai,All,Longtail India - Mumbai,Longtail Retreats Mumbai,Text ad
enabled,Book Yoga Retreats Online,4 Deals in Sabine Hills!,Top Rated & Best Price Guarantee,www.BookYogaRetreats.com,www.bookyogaretreats.com/all/d/europe/italy/sabine-hills,All,Longtail Italy - Sabine Hills,Longtail Retreats Sabine Hills,Text ad
enabled,Book Yoga Retreats Online,3 Deals in Wayanad!,Top Rated & Best Price Guarantee,www.BookYogaRetreats.com/Wayanad,www.bookyogaretreats.com/all/d/asia-and-oceania/india/wayanad,All,Longtail India - Wayanad,Longtail Retreats Wayanad,Text ad
enabled,Book Yoga Retreats Online,20 Deals in Cabuya!,Top Rated & Best Price Guarantee,www.BookYogaRetreats.com/Cabuya,www.bookyogaretreats.com/all/d/the-americas-and-caribbean/costa-rica/cabuya,All,Longtail Costa Rica - Cabuya,Longtail Retreats Cabuya,Text ad
enabled,Book Yoga Retreats Online,3 Deals in Antalya!,Top Rated & Best Price Guarantee,www.BookYogaRetreats.com/Antalya,www.bookyogaretreats.com/all/d/africa-and-the-middle-east/turkey/antalya,All,Longtail Turkey - Antalya,Longtail Retreats Antalya,Text ad
enabled,Book Yoga Retreats Online,4 Deals in Grasse!,Top Rated & Best Price Guarantee,www.BookYogaRetreats.com/Grasse,www.bookyogaretreats.com/all/d/europe/france/grasse,All,Longtail France - Grasse,Longtail Retreats Grasse,Text ad
enabled,Book Yoga Retreats Online,13 Deals in Bardez!,Top Rated & Best Price Guarantee,www.BookYogaRetreats.com/Bardez,www.bookyogaretreats.com/all/d/asia-and-oceania/india/bardez,All,Longtail India - Bardez,Longtail Retreats Bardez,Text ad
enabled,Book Yoga Retreats Online,8 Deals in Andes!,Top Rated & Best Price Guarantee,www.BookYogaRetreats.com/Andes,www.bookyogaretreats.com/all/d/the-americas-and-caribbean/peru/andes,All,Longtail Peru - Andes,Longtail Retreats Andes,Text ad
enabled,Book Yoga Retreats Online,3 Deals in Dalaman!,Top Rated & Best Price Guarantee,www.BookYogaRetreats.com/Dalaman,www.bookyogaretreats.com/all/d/africa-and-the-middle-east/turkey/dalaman,All,Longtail Turkey - Dalaman,Longtail Retreats Dalaman,Text ad
enabled,Book Yoga Retreats Online,13 Deals in Arambol!,Top Rated & Best Price Guarantee,www.BookYogaRetreats.com/Arambol,www.bookyogaretreats.com/all/d/asia-and-oceania/india/arambol,All,Longtail India - Arambol,Longtail Retreats Arambol,Text ad
enabled,Book Yoga Retreats Online,12 Deals in Badrinath!,Top Rated & Best Price Guarantee,www.BookYogaRetreats.com/Badrinath,www.bookyogaretreats.com/all/d/asia-and-oceania/india/badrinath,All,Longtail India - Badrinath,Longtail Retreats Badrinath,Text ad
