Keyword state,Keyword,Match type,Campaign,Ad group,Keyword max CPC,Ad group max CPC
enabled,[Chianti yoga training],Exact,Longtail Italy - Chianti,Longtail Retreats Chianti,0.25,0.1
enabled,[Pushkar yoga resorts packages],Exact,Longtail India - Pushkar,Longtail Retreats Pushkar,0.25,0.1
enabled,[Big Pine Key yoga camp retreats],Exact,Longtail USA - Big Pine Key,Longtail Retreats Big Pine Key,0.2,0.1
enabled,[Lefkada yoga center deals],Exact,Longtail Greece - Lefkada,Longtail Retreats Lefkada,0.2,0.1
enabled,[Agadir Idawtanan yoga retreats deal],Exact,Longtail Morocco - Agadir Idawtanan,Longtail Retreats Agadir Idawtanan,0.2,0.1
enabled,[yoga packages resorts Gianyar],Exact,Longtail Indonesia - Gianyar,Longtail Retreats Gianyar,0.45,0.1
enabled,[yoga camp deals Tenerife],Exact,Longtail Spain - Tenerife,Longtail Retreats Tenerife,0.25,0.1
enabled,[yoga trainings deals Quelfes],Exact,Longtail Portugal - Quelfes,Longtail Retreats Quelfes,0.2,0.1
enabled,[yoga retreat deal Hoi An],Exact,Longtail Vietnam - Hoi An,Longtail Retreats Hoi An,0.2,0.1
enabled,[Capri yoga center packages],Exact,Longtail Italy - Capri,Longtail Retreats Capri,0.2,0.1
enabled,[Big Island yoga centers packages],Exact,Longtail USA - Big Island,Longtail Retreats Big Island,0.3,0.1
enabled,[yoga packages resort in La Punta],Exact,Longtail Mexico - La Punta,Longtail Retreats La Punta,0.2,0.1
enabled,[yoga camps retreats Rome],Exact,Longtail Italy - Rome,Longtail Retreats Rome,0.2,0.1
enabled,[Ispica yoga centre],Exact,Longtail Italy - Ispica,Longtail Retreats Ispica,0.25,0.1
enabled,[yoga training Ganges],Exact,Longtail India - Ganges,Longtail Retreats Ganges,0.4,0.1
enabled,[yoga centers retreat in Batu Bolong Beach],Exact,Longtail Indonesia - Batu Bolong Beach,Longtail Retreats Batu Bolong Beach,0.25,0.1
enabled,[yoga deal retreat in Aragon],Exact,Longtail Spain - Aragon,Longtail Retreats Aragon,0.2,0.1
enabled,[yoga centers retreat in Imi Ouaddar],Exact,Longtail Morocco - Imi Ouaddar,Longtail Retreats Imi Ouaddar,0.2,0.1
enabled,[Mumbai yoga resort deal],Exact,Longtail India - Mumbai,Longtail Retreats Mumbai,0.2,0.1
enabled,[yoga resorts deals Thessaloniki],Exact,Longtail Greece - Thessaloniki,Longtail Retreats Thessaloniki,0.2,0.1
enabled,[yoga deal retreat East Midlands],Exact,Longtail United Kingdom - East Midlands,Longtail Retreats East Midlands,0.25,0.1
enabled,[Sweden yoga vacations package],Exact,Longtail Sweden,Longtail Retreats Sweden,0.3,0.1
enabled,[yoga resort deals Cuba],Exact,Longtail Cuba,Longtail Retreats Cuba,0.2,0.1
enabled,[yoga camps retreat Sitges],Exact,Longtail Spain - Sitges,Longtail Retreats Sitges,0.2,0.1
