destination_id,nr_listings,from_price,currency_code,parent_id1,type1,slug1,parent_id2,type2,slug2,parent_id3,type3,slug3,concat,name
2541,9,70000,USD,2372,state,matale-district,2805,country,sri-lanka,0,continent,asia-and-oceania,www.bookyogaretreats.com/all/d/asia-and-oceania/sri-lanka/matale-district, Matale District
4107,4,40500,NZD,2373,state,abel-tasman-national-park,2805,country,new-zealand,0,continent,asia-and-oceania,www.bookyogaretreats.com/all/d/asia-and-oceania/new-zealand/abel-tasman-national-park,Abel Tasman National Park
2394,9,36900,EUR,2948,state,abruzzo,2968,country,italy,0,continent,europe,www.bookyogaretreats.com/all/d/europe/italy/abruzzo,Abruzzo
3297,10,37000,EUR,2948,state,adriatic-sea,2968,country,italy,0,continent,europe,www.bookyogaretreats.com/all/d/europe/italy/adriatic-sea,Adriatic Sea
5769,12,68200,EUR,1747,state,adriatic-sea-1,2968,country,croatia,0,continent,europe,www.bookyogaretreats.com/all/d/europe/croatia/adriatic-sea-1,Adriatic Sea
270,14,43000,GBP,2965,state,aegean,3258,country,turkey,0,continent,africa-and-the-middle-east,www.bookyogaretreats.com/all/d/africa-and-the-middle-east/turkey/aegean,Aegean
3046,29,26000,EUR,2874,state,aegean-islands,2968,country,greece,0,continent,europe,www.bookyogaretreats.com/all/d/europe/greece/aegean-islands,Aegean Islands
6344,15,20000,EUR,2874,state,aegean-sea-area,2968,country,greece,0,continent,europe,www.bookyogaretreats.com/all/d/europe/greece/aegean-sea-area,Aegean Sea area
3044,3,69500,GBP,2874,state,aegiali,2968,country,greece,0,continent,europe,www.bookyogaretreats.com/all/d/europe/greece/aegiali,Aegiali
867,4,113000,GBP,2948,state,aeolian-islands,2968,country,italy,0,continent,europe,www.bookyogaretreats.com/all/d/europe/italy/aeolian-islands,Aeolian Islands
3258,226,9000,EUR,0,continent,africa-and-the-middle-east,NULL,NULL,NULL,NULL,NULL,NULL,www.bookyogaretreats.com/all/d/africa-and-the-middle-east,Africa & the Middle East
2978,58,9000,EUR,3437,state,agadir,3258,country,morocco,0,continent,africa-and-the-middle-east,www.bookyogaretreats.com/all/d/africa-and-the-middle-east/morocco/agadir,Agadir
2882,5,40000,EUR,3437,state,agadir-idawtanan,3258,country,morocco,0,continent,africa-and-the-middle-east,www.bookyogaretreats.com/all/d/africa-and-the-middle-east/morocco/agadir-idawtanan,Agadir Idawtanan
1297,4,39000,EUR,2874,state,agios-georgios,2968,country,greece,0,continent,europe,www.bookyogaretreats.com/all/d/europe/greece/agios-georgios,Agios Georgios
5385,3,55000,EUR,2874,state,agios-pavlos,2968,country,greece,0,continent,europe,www.bookyogaretreats.com/all/d/europe/greece/agios-pavlos,Agios Pavlos
2263,5,1450000,PHP,3522,state,agoho,2805,country,philippines,0,continent,asia-and-oceania,www.bookyogaretreats.com/all/d/asia-and-oceania/philippines/agoho,Agoho
214,10,30000,EUR,2585,state,agonda,2805,country,india,0,continent,asia-and-oceania,www.bookyogaretreats.com/all/d/asia-and-oceania/india/agonda,Agonda
2894,13,79700,USD,2585,state,agra,2805,country,india,0,continent,asia-and-oceania,www.bookyogaretreats.com/all/d/asia-and-oceania/india/agra,Agra
3636,6,78500,USD,3466,state,aguas-calientes,3490,country,peru,0,continent,the-americas-and-caribbean,www.bookyogaretreats.com/all/d/the-americas-and-caribbean/peru/aguas-calientes,Aguas Calientes
7277,3,15000,AUD,2722,state,airlie-beach,2805,country,australia,0,continent,asia-and-oceania,www.bookyogaretreats.com/all/d/asia-and-oceania/australia/airlie-beach,Airlie Beach
774,3,595000,PHP,3522,state,aklan,2805,country,philippines,0,continent,asia-and-oceania,www.bookyogaretreats.com/all/d/asia-and-oceania/philippines/aklan,Aklan
972,3,99500,USD,3470,state,alachua,3490,country,usa,0,continent,the-americas-and-caribbean,www.bookyogaretreats.com/all/d/the-americas-and-caribbean/usa/alachua,Alachua
2886,4,127500,USD,3340,state,alajuela,3490,country,costa-rica,0,continent,the-americas-and-caribbean,www.bookyogaretreats.com/all/d/the-americas-and-caribbean/costa-rica/alajuela,Alajuela
